id,call_datetime,src,target,agent,start_time,end_time,call_type,line_of_business
1,2023-03-12 18:54:00,s9,t2,susan,2023-03-12 18:51:00.882589,2023-03-12 19:22:00.882589,Outbound,Finance
2,2023-03-12 18:54:00,s4,t9,susan,2023-03-12 17:28:00.882643,2023-03-12 17:49:00.882643,Outbound,Healthcare
3,2023-03-12 18:54:00,s10,t4,jack,2023-03-12 18:17:00.882680,2023-03-12 18:56:00.882680,Outbound,Retail
4,2023-03-12 18:54:00,s1,t6,jack,2023-03-12 18:29:00.882766,2023-03-12 18:35:00.882766,Outbound,Retail
5,2023-03-12 18:54:00,s10,t6,amy,2023-03-12 18:09:00.882803,2023-03-12 18:41:00.882803,Outbound,Healthcare
6,2023-03-12 18:54:00,s9,t6,amy,2023-03-12 17:04:00.882851,2023-03-12 18:04:00.882851,Inbound,Retail
7,2023-03-12 18:54:00,s5,t4,tom,2023-03-12 17:34:00.882886,2023-03-12 18:23:00.882886,Inbound,Finance
8,2023-03-12 18:54:00,s2,t2,tom,2023-03-12 17:21:00.882919,2023-03-12 17:43:00.882919,Inbound,Healthcare
9,2023-03-12 18:54:00,s10,t9,tom,2023-03-12 18:27:00.882950,2023-03-12 19:18:00.882950,Inbound,Finance
10,2023-03-12 18:54:00,s7,t2,susan,2023-03-12 18:43:00.882982,2023-03-12 19:14:00.882982,Outbound,Finance
11,2023-03-12 18:54:00,s8,t1,kelly,2023-03-12 18:51:00.883013,2023-03-12 19:42:00.883013,Inbound,Retail
12,2023-03-12 18:54:00,s3,t1,kelly,2023-03-12 18:46:00.883045,2023-03-12 19:06:00.883045,Inbound,Healthcare
13,2023-03-12 18:54:00,s4,t5,jack,2023-03-12 17:43:00.883136,2023-03-12 17:57:00.883136,Inbound,Healthcare
14,2023-03-12 18:54:00,s6,t5,kelly,2023-03-12 18:11:00.883170,2023-03-12 18:52:00.883170,Outbound,Retail
15,2023-03-12 18:54:00,s7,t4,amy,2023-03-12 16:54:00.883201,2023-03-12 17:26:00.883201,Inbound,Retail
16,2023-03-12 18:54:00,s10,t2,kelly,2023-03-12 17:34:00.883232,2023-03-12 17:52:00.883232,Outbound,Healthcare
17,2023-03-12 18:54:00,s7,t10,kelly,2023-03-12 18:05:00.883263,2023-03-12 18:16:00.883263,Inbound,Finance
